                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.65182,                0.53239,                 1.0994,                0.78491,                0.77997,                0.72386,                 0.5509,                 1.0307,                 0.7101,                 1.3095,             0.00059429,             0.00059429,             0.00059429
                     68,                0.65648,                0.55103,                 1.0992,                0.75467,                0.77321,                0.73365,                0.55203,                0.99626,                 0.7677,                 1.3309,             0.00057778,             0.00057778,             0.00057778
                     69,                0.68488,                0.54642,                 1.1219,                0.73062,                0.77321,                0.72361,                0.51656,                 1.0083,                0.75657,                 1.3053,             0.00056128,             0.00056128,             0.00056128
                     70,                0.66021,                0.52115,                  1.081,                 0.8188,                0.84464,                0.83551,                0.53388,                 1.0017,                 0.6796,                 1.2704,             0.00054478,             0.00054478,             0.00054478
                     71,                 0.7248,                0.59331,                 1.1399,                0.72423,                0.74214,                0.71414,                0.52916,                0.97823,                0.74426,                 1.2868,             0.00052827,             0.00052827,             0.00052827
                     72,                 0.6375,                0.52932,                 1.0768,                0.73127,                 0.7375,                0.68863,                0.53969,                0.91669,                 0.7576,                 1.2879,             0.00051177,             0.00051177,             0.00051177
                     73,                0.66466,                0.51525,                 1.1054,                0.75229,                0.78121,                0.71525,                0.54853,                0.89372,                 0.7136,                 1.2732,             0.00049527,             0.00049527,             0.00049527
                     74,                0.62135,                0.47829,                 1.0695,                0.75014,                0.77321,                0.75152,                0.54567,                0.92098,                 0.6508,                 1.2634,             0.00047876,             0.00047876,             0.00047876
                     75,                 0.5858,                0.52821,                 1.0789,                0.79055,                0.80893,                0.77258,                0.58001,                0.88265,                0.62123,                 1.2504,             0.00046226,             0.00046226,             0.00046226
                     76,                0.61741,                0.52294,                 1.0765,                0.77195,                0.82039,                0.76842,                0.57145,                0.95234,                0.64461,                 1.2466,             0.00044576,             0.00044576,             0.00044576
                     77,                0.61886,                 0.4853,                 1.0831,                0.68398,                0.89286,                0.75848,                0.57727,                0.92631,                0.63704,                 1.1958,             0.00042925,             0.00042925,             0.00042925
                     78,                0.61969,                0.48191,                 1.0843,                 0.7304,                0.89286,                0.76841,                0.59762,                0.89065,                0.63077,                 1.1624,             0.00041275,             0.00041275,             0.00041275
                     79,                0.63334,                0.50328,                  1.077,                0.72776,                0.85714,                 0.7659,                0.58953,                0.87023,                0.62775,                 1.1807,             0.00039625,             0.00039625,             0.00039625
                     80,                0.60374,                0.47125,                 1.0644,                0.71941,                0.85714,                0.73964,                0.57006,                0.86458,                0.63615,                 1.1819,             0.00037974,             0.00037974,             0.00037974
                     81,                0.55435,                0.44244,                 1.0377,                 0.6702,                0.80893,                0.69185,                0.54599,                0.84513,                0.70119,                 1.1558,             0.00036324,             0.00036324,             0.00036324
                     82,                0.62834,                0.50264,                 1.0841,                0.66261,                0.79505,                0.73904,                0.54904,                0.84104,                0.74588,                 1.1531,             0.00034674,             0.00034674,             0.00034674
                     83,                0.62127,                0.49105,                 1.0717,                0.70197,                0.77321,                 0.7548,                0.55369,                0.85788,                 0.7464,                  1.142,             0.00033023,             0.00033023,             0.00033023
                     84,                0.62576,                0.47188,                   1.07,                0.73239,                 0.7375,                 0.7094,                0.53022,                0.90267,                0.78888,                 1.1721,             0.00031373,             0.00031373,             0.00031373
                     85,                0.59792,                0.48363,                  1.074,                0.76161,                0.84464,                 0.7621,                0.57346,                0.85123,                0.69455,                 1.1641,             0.00029723,             0.00029723,             0.00029723
                     86,                0.59241,                0.48566,                 1.0869,                0.82402,                0.84356,                0.79169,                0.58943,                0.88706,                0.65636,                 1.2129,             0.00028072,             0.00028072,             0.00028072
                     87,                0.55841,                 0.4573,                  1.052,                 0.7478,                0.85073,                0.79248,                0.58652,                0.87042,                0.68056,                 1.1881,             0.00026422,             0.00026422,             0.00026422
                     88,                0.55504,                0.44137,                 1.0437,                0.75662,                0.80893,                0.77677,                0.57382,                0.92892,                 0.7095,                 1.2367,             0.00024772,             0.00024772,             0.00024772
                     89,                0.64523,                0.52267,                 1.1096,                0.76898,                0.80581,                0.75916,                0.58267,                0.95888,                0.61155,                 1.2577,             0.00023121,             0.00023121,             0.00023121
                     90,                0.58066,                 0.4732,                  1.062,                 0.8046,                0.80893,                0.79331,                0.59337,                0.90995,                0.61602,                 1.2287,             0.00021471,             0.00021471,             0.00021471
                     91,                0.47489,                0.50298,                 1.0106,                0.82034,                0.84464,                 0.8013,                0.58691,                0.90944,                0.60655,                 1.2481,             0.00019821,             0.00019821,             0.00019821
                     92,                0.39994,                0.37065,                0.92086,                0.81079,                0.79745,                0.76995,                0.58327,                0.90963,                0.56999,                 1.2721,              0.0001817,              0.0001817,              0.0001817
                     93,                0.40857,                0.35153,                0.92214,                0.80663,                0.80538,                0.78133,                 0.5915,                0.93696,                0.57187,                 1.2892,              0.0001652,              0.0001652,              0.0001652
                     94,                0.39785,                0.34337,                0.93654,                0.77854,                0.80893,                0.77563,                0.59502,                0.94336,                0.57243,                 1.2932,              0.0001487,              0.0001487,              0.0001487
                     95,                0.42822,                0.36409,                0.95052,                 0.7861,                0.81558,                0.76497,                0.58128,                0.96825,                0.58618,                 1.3205,             0.00013219,             0.00013219,             0.00013219
                     96,                0.41137,                0.33365,                0.93896,                0.77935,                0.80893,                 0.7447,                0.57777,                0.98159,                0.59128,                  1.345,             0.00011569,             0.00011569,             0.00011569
                     97,                0.40268,                0.33679,                0.93414,                0.78703,                0.84074,                0.74902,                0.57536,                0.94966,                0.59856,                 1.3329,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.35745,                0.30541,                0.89951,                0.76566,                0.84045,                0.73506,                0.56355,                0.95012,                0.61653,                 1.3187,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.40422,                0.39869,                0.95945,                0.78056,                0.85244,                  0.736,                0.56351,                0.93386,                0.63508,                 1.2925,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.36406,                0.28458,                 0.9196,                0.76777,                0.85714,                0.73863,                0.56918,                0.93652,                0.62142,                 1.2892,             4.9677e-05,             4.9677e-05,             4.9677e-05
